street,city,zipcode,region,abbr,country,complete,continent
80 boulevard Maurice-Barrès,Neuilly-sur-Seine,92200,Île-de-France,,France,"80 boulevard Maurice-Barrès, 92200 Neuilly-sur-Seine",Europe
23 rue Galilée,Paris,75001,Île-de-France,,France,"23 rue Galilée, 75001 Paris",Europe
7 quai Arthur-Rimbaud,Charleville-Mézières,08000,Grand Est,,France,"7 quai Arthur-Rimbaud, 08000 Charleville-Mézières",Europe
12 rue Jadin,Paris,75001,Île-de-France,,France,"12 rue Jadin, 75001 Paris",Europe
16 rue Frédéric Japy,Beaucourt,90500,Bourgogne-Franche-Comté,,France,"16 rue Frédéric Japy, 90500 Beaucourt",Europe
11 rue Copernic,Paris,75001,Île-de-France,,France,"11 rue Copernic, 75001 Paris",Europe
32 avenue Raphaël,Paris,75001,Île-de-France,,France,"32 avenue Raphaël, 75001 Paris",Europe
3 villa Copernic,Paris,75001,Île-de-France,,France,"3 villa Copernic, 75001 Paris",Europe
4 avenue Raphaël,Paris,75001,Île-de-France,,France,"4 avenue Raphaël, 75001 Paris",Europe
12 avenue du Président-Kennedy,Paris,75001,Île-de-France,,France,"12 avenue du Président-Kennedy, 75001 Paris",Europe
7 avenue Hoche,Paris,75001,Île-de-France,,France,"7 avenue Hoche, 75001 Paris",Europe
108 boulevard du Montparnasse,Paris,75001,Île-de-France,,France,"108 boulevard du Montparnasse, 75001 Paris",Europe
36 boulevard Gallieni,Nogent-sur-Marne,94130,Île-de-France,,France,"36 boulevard Gallieni, 94130 Nogent-sur-Marne",Europe
11 rue de Turenne,Colmar,68000,Grand Est,,France,"11 rue de Turenne, 68000 Colmar",Europe
7 rue de Presbourg,Paris,75001,Île-de-France,,France,"7 rue de Presbourg, 75001 Paris",Europe
3 bis place des États-Unis,Paris,75001,Île-de-France,,France,"3 bis place des États-Unis, 75001 Paris",Europe
1 rue de l'Église,Sessenheim,67770,Grand Est,,France,"1 rue de l'Église, 67770 Sessenheim",Europe
8 rue Vaillant,Dijon,21000,Bourgogne-Franche-Comté,,France,"8 rue Vaillant, 21000 Dijon",Europe
17 rue Sainte-Anne,Dijon,21000,Bourgogne-Franche-Comté,,France,"17 rue Sainte-Anne, 21000 Dijon",Europe
405 promenade des Anglais,Nice,06000,Provence-Alpes-Côte d'Azur,,France,"405 promenade des Anglais, 06000 Nice",Europe
20 Grande Rue,Grenoble,38000,Auvergne-Rhône-Alpes,,France,"20 Grande Rue, 38000 Grenoble",Europe
1 route des Trois Ormeaux,Alise-Sainte-Reine,21150,Bourgogne-Franche-Comté,,France,"1 route des Trois Ormeaux, 21150 Alise-Sainte-Reine",Europe
1 rue du pont paquis,Juniville,08310,Grand Est,,France,"1 rue du pont paquis, 08310 Juniville",Europe
5 rue du Docteur-Maret,Dijon,21000,Bourgogne-Franche-Comté,,France,"5 rue du Docteur-Maret, 21000 Dijon",Europe
142 rue de Grenelle,Paris,75001,Île-de-France,,France,"142 rue de Grenelle, 75001 Paris",Europe
18 rue Lord-Byron,Paris,75001,Île-de-France,,France,"18 rue Lord-Byron, 75001 Paris",Europe
23 rue d'Artois,Paris,75001,Île-de-France,,France,"23 rue d'Artois, 75001 Paris",Europe
5 rue de Montevideo,Paris,75001,Île-de-France,,France,"5 rue de Montevideo, 75001 Paris",Europe
78 avenue d'Iéna,Paris,75001,Île-de-France,,France,"78 avenue d'Iéna, 75001 Paris",Europe
7 rue Neuve Saint-Etienne,Limoges,87000,Nouvelle-Aquitaine,,France,"7 rue Neuve Saint-Etienne, 87000 Limoges",Europe
2 rue René-Heymès,Vesoul,70000,Bourgogne-Franche-Comté,,France,"2 rue René-Heymès, 70000 Vesoul",Europe
103 rue de la Vallée,Bogny-sur-Meuse,08120,Grand Est,,France,"103 rue de la Vallée, 08120 Bogny-sur-Meuse",Europe
32 rue des Farges,Périgueux,24000,Nouvelle-Aquitaine,,France,"32 rue des Farges, 24000 Périgueux",Europe
1 rue de l'Hôtel-de-Ville,Altkirch,68130,Grand Est,,France,"1 rue de l'Hôtel-de-Ville, 68130 Altkirch",Europe
1 montée de la citadelle,Saint-Tropez,83990,Provence-Alpes-Côte d'Azur,,France,"1 montée de la citadelle, 83990 Saint-Tropez",Europe
28 rue Albert Ier,La Rochelle,17000,Nouvelle-Aquitaine,,France,"28 rue Albert Ier, 17000 La Rochelle",Europe
59 boulevard Pinel,Bron,69500,Auvergne-Rhône-Alpes,,France,"59 boulevard Pinel, 69500 Bron",Europe
23 quai Maréchal de Lattre de Tassigny,Sète,34200,Occitanie,,France,"23 quai Maréchal de Lattre de Tassigny, 34200 Sète",Europe
10 rue Clovis-Hugues,Marseille,13001,Provence-Alpes-Côte d'Azur,,France,"10 rue Clovis-Hugues, 13001 Marseille",Europe
55 rue Marguerite-Yourcenar,Saint-Jans-Cappel,59270,Hauts-de-France,,France,"55 rue Marguerite-Yourcenar, 59270 Saint-Jans-Cappel",Europe
9 avenue Gabriel,Paris,75001,Île-de-France,,France,"9 avenue Gabriel, 75001 Paris",Europe
3 rue de Rigny,Paris,75001,Île-de-France,,France,"3 rue de Rigny, 75001 Paris",Europe
4 rue Jean-Rey,Paris,75001,Île-de-France,,France,"4 rue Jean-Rey, 75001 Paris",Europe
16 rue de Presles,Paris,75001,Île-de-France,,France,"16 rue de Presles, 75001 Paris",Europe
12 boulevard Paul Peytral,Marseille,13001,Provence-Alpes-Côte d'Azur,,France,"12 boulevard Paul Peytral, 13001 Marseille",Europe
18 rue Louis Vuitton,Asnières-sur-Seine,92600,Île-de-France,,France,"18 rue Louis Vuitton, 92600 Asnières-sur-Seine",Europe
36 rue du Parc de Clagny Versailles,Versailles,78000,Île-de-France,,France,"36 rue du Parc de Clagny Versailles, 78000 Versailles",Europe
5 rue de la Faisanderie,Paris,75001,Île-de-France,,France,"5 rue de la Faisanderie, 75001 Paris",Europe
15 avenue d'Alsace,Strasbourg,67000,Grand Est,,France,"15 avenue d'Alsace, 67000 Strasbourg",Europe
10 rue du Maréchal de Lattre de Tassigny,Lille,59000,Hauts-de-France,,France,"10 rue du Maréchal de Lattre de Tassigny, 59000 Lille",Europe
4 boulevard Vauban,Nouméa,98800,Nouvelle-Calédonie,,France,"4 boulevard Vauban, 98800 Nouméa",Europe
45 boulevard Carnot,Lille,59000,Hauts-de-France,,France,"45 boulevard Carnot, 59000 Lille",Europe
444 chemin Saint-Antoine,Cayenne,97300,Guyane,,France,"444 chemin Saint-Antoine, 97300 Cayenne",Europe
20 place des Halles,Strasbourg,67000,Grand Est,,France,"20 place des Halles, 67000 Strasbourg",Europe
70 avenue de Hambourg,Marseille,13001,Provence-Alpes-Côte d'Azur,,France,"70 avenue de Hambourg, 13001 Marseille",Europe
1 Place Hans-Jean Arp,Strasbourg,67000,Grand Est,,France,"1 Place Hans-Jean Arp, 67000 Strasbourg",Europe
32 rue du Moulin,Dannemois,91490,Île-de-France,,France,"32 rue du Moulin, 91490 Dannemois",Europe
3 avenue Ambroise Paré,Marseille,13001,Provence-Alpes-Côte d'Azur,,France,"3 avenue Ambroise Paré, 13001 Marseille",Europe
6 place Sébastien Brant,Strasbourg,67000,Grand Est,,France,"6 place Sébastien Brant, 67000 Strasbourg",Europe
65 avenue Franklin-D.-Roosevelt,Paris,75001,Île-de-France,,France,"65 avenue Franklin-D.-Roosevelt, 75001 Paris",Europe
20 boulevard Carmagnole,Marseille,13001,Provence-Alpes-Côte d'Azur,,France,"20 boulevard Carmagnole, 13001 Marseille",Europe
26 rue Louis Blanc,Lyon,69001,Auvergne-Rhône-Alpes,,France,"26 rue Louis Blanc, 69001 Lyon",Europe
35 rue Bautain,Strasbourg,67000,Grand Est,,France,"35 rue Bautain, 67000 Strasbourg",Europe
25 boulevard Carmagnole,Marseille,13001,Provence-Alpes-Côte d'Azur,,France,"25 boulevard Carmagnole, 13001 Marseille",Europe
29 avenue de la Paix,Strasbourg,67000,Grand Est,,France,"29 avenue de la Paix, 67000 Strasbourg",Europe
79 rue Crillon,Lyon,69001,Auvergne-Rhône-Alpes,,France,"79 rue Crillon, 69001 Lyon",Europe
29 rue de Bonnel,Lyon,69001,Auvergne-Rhône-Alpes,,France,"29 rue de Bonnel, 69001 Lyon",Europe
25 rue Trubner,Strasbourg,67000,Grand Est,,France,"25 rue Trubner, 67000 Strasbourg",Europe
157 boulevard Michelet,Marseille,13001,Provence-Alpes-Côte d'Azur,,France,"157 boulevard Michelet, 13001 Marseille",Europe
146 rue Paradis,Marseille,13001,Provence-Alpes-Côte d'Azur,,France,"146 rue Paradis, 13001 Marseille",Europe
56 rue d'Alger,Marseille,13001,Provence-Alpes-Côte d'Azur,,France,"56 rue d'Alger, 13001 Marseille",Europe
72 boulevard Gambetta,Nice,06000,Provence-Alpes-Côte d'Azur,,France,"72 boulevard Gambetta, 06000 Nice",Europe
5 rue du Commandant Faurax,Lyon,69001,Auvergne-Rhône-Alpes,,France,"5 rue du Commandant Faurax, 69001 Lyon",Europe
7 boulevard Georges-Clemenceau,Metz,57000,Grand Est,,France,"7 boulevard Georges-Clemenceau, 57000 Metz",Europe
5 boulevard Émile-Augier,Paris,75001,Île-de-France,,France,"5 boulevard Émile-Augier, 75001 Paris",Europe
18 avenue des Fleurs,Nice,06000,Provence-Alpes-Côte d'Azur,,France,"18 avenue des Fleurs, 06000 Nice",Europe
8 boulevard d'Athènes,Marseille,13001,Provence-Alpes-Côte d'Azur,,France,"8 boulevard d'Athènes, 13001 Marseille",Europe
14 avenue du Maréchal Foch,Lyon,69001,Auvergne-Rhône-Alpes,,France,"14 avenue du Maréchal Foch, 69001 Lyon",Europe
33 boulevard des Belges,Lyon,69001,Auvergne-Rhône-Alpes,,France,"33 boulevard des Belges, 69001 Lyon",Europe
38 rue Grignan,Marseille,13001,Provence-Alpes-Côte d'Azur,,France,"38 rue Grignan, 13001 Marseille",Europe
6 boulevard Rivet,Marseille,13001,Provence-Alpes-Côte d'Azur,,France,"6 boulevard Rivet, 13001 Marseille",Europe
65 allée de la Robertsau,Strasbourg,67000,Grand Est,,France,"65 allée de la Robertsau, 67000 Strasbourg",Europe
234 boulevard Périer,Marseille,13001,Provence-Alpes-Côte d'Azur,,France,"234 boulevard Périer, 13001 Marseille",Europe
51 rue de Varenne,Paris,75001,Île-de-France,,France,"51 rue de Varenne, 75001 Paris",Europe
35 cours de Verdun,Bordeaux,33000,Nouvelle-Aquitaine,,France,"35 cours de Verdun, 33000 Bordeaux",Europe
338 avenue du Prado,Marseille,13001,Provence-Alpes-Côte d'Azur,,France,"338 avenue du Prado, 13001 Marseille",Europe
6 quai Mullenheim,Strasbourg,67000,Grand Est,,France,"6 quai Mullenheim, 67000 Strasbourg",Europe
41 allée de la Robertsau,Strasbourg,67000,Grand Est,,France,"41 allée de la Robertsau, 67000 Strasbourg",Europe
112 boulevard des Dames,Marseille,13001,Provence-Alpes-Côte d'Azur,,France,"112 boulevard des Dames, 13001 Marseille",Europe
15 avenue Frédéric Mistral,Marseille,13001,Provence-Alpes-Côte d'Azur,,France,"15 avenue Frédéric Mistral, 13001 Marseille",Europe
166 avenue de Hambourg,Marseille,13001,Provence-Alpes-Côte d'Azur,,France,"166 avenue de Hambourg, 13001 Marseille",Europe
142Bld du Président Wilson,Bordeaux,33000,Nouvelle-Aquitaine,,France,"142Bld du Président Wilson, 33000 Bordeaux",Europe
97 rue Garibaldi,Lyon,69001,Auvergne-Rhône-Alpes,,France,"97 rue Garibaldi, 69001 Lyon",Europe
22 rue de l'Amiral-Hamelin,Paris,75001,Île-de-France,,France,"22 rue de l'Amiral-Hamelin, 75001 Paris",Europe
2 avenue du Parc Borely,Marseille,13001,Provence-Alpes-Côte d'Azur,,France,"2 avenue du Parc Borely, 13001 Marseille",Europe
3 rue de la Libération,Fort-de-France,97200,Martinique,,France,"3 rue de la Libération, 97200 Fort-de-France",Europe
11 quai des Belges,Marseille,13001,Provence-Alpes-Côte d'Azur,,France,"11 quai des Belges, 13001 Marseille",Europe
12 rue de Berri,Paris,75001,Île-de-France,,France,"12 rue de Berri, 75001 Paris",Europe
11 rue Henri Rodel,Bordeaux,33000,Nouvelle-Aquitaine,,France,"11 rue Henri Rodel, 33000 Bordeaux",Europe
16 rue Wimpheling,Strasbourg,67000,Grand Est,,France,"16 rue Wimpheling, 67000 Strasbourg",Europe
71 rue Crillon,Lyon,69001,Auvergne-Rhône-Alpes,,France,"71 rue Crillon, 69001 Lyon",Europe
6 rue Georges-Berger,Paris,75001,Île-de-France,,France,"6 rue Georges-Berger, 75001 Paris",Europe
2 rue Nicéphore Nièpce,Saint-Loup-de-Varennes,71240,Bourgogne-Franche-Comté,,France,"2 rue Nicéphore Nièpce, 71240 Saint-Loup-de-Varennes",Europe
35 avenue de Villiers,Paris,75001,Île-de-France,,France,"35 avenue de Villiers, 75001 Paris",Europe
12 rue Shoelcher,Pointe-à-Pitre,97110,Guadeloupe,,France,"12 rue Shoelcher, 97110 Pointe-à-Pitre",Europe
12 avenue Léopold Héder,Cayenne,97300,Guyane,,France,"12 avenue Léopold Héder, 97300 Cayenne",Europe
20 quai François-Mitterrand,Nantes,44000,Pays de la Loire,,France,"20 quai François-Mitterrand, 44000 Nantes",Europe
363 avenue du Prado,Marseille,13001,Provence-Alpes-Côte d'Azur,,France,"363 avenue du Prado, 13001 Marseille",Europe
87 rue de Sèze,Lyon,69001,Auvergne-Rhône-Alpes,,France,"87 rue de Sèze, 69001 Lyon",Europe
29 Allée de Chartres,Bordeaux,33000,Nouvelle-Aquitaine,,France,"29 Allée de Chartres, 33000 Bordeaux",Europe
10 rue Auguste Lamey,Strasbourg,67000,Grand Est,,France,"10 rue Auguste Lamey, 67000 Strasbourg",Europe
44 rue de Sèvres,Boulogne-Billancourt,92100,Île-de-France,,France,"44 rue de Sèvres, 92100 Boulogne-Billancourt",Europe
120 rue de Solférino,Lille,59000,Hauts-de-France,,France,"120 rue de Solférino, 59000 Lille",Europe
7 rue Vauban,Lyon,69001,Auvergne-Rhône-Alpes,,France,"7 rue Vauban, 69001 Lyon",Europe
363 rue Paradis,Marseille,13001,Provence-Alpes-Côte d'Azur,,France,"363 rue Paradis, 13001 Marseille",Europe
11 rue d'Argentine,Paris,75001,Île-de-France,,France,"11 rue d'Argentine, 75001 Paris",Europe
37 allée de la Robertsau,Strasbourg,67000,Grand Est,,France,"37 allée de la Robertsau, 67000 Strasbourg",Europe
1 rue Notre-Dame,Bordeaux,33000,Nouvelle-Aquitaine,,France,"1 rue Notre-Dame, 33000 Bordeaux",Europe
16 rue Sainte Anne,Toulouse,31000,Occitanie,,France,"16 rue Sainte Anne, 31000 Toulouse",Europe
12 rue Franklin,Perpignan,66000,Occitanie,,France,"12 rue Franklin, 66000 Perpignan",Europe
6 place Royale,Pau,64000,Nouvelle-Aquitaine,,France,"6 place Royale, 64000 Pau",Europe
1 rue Louis Guérin,Villeurbanne,69100,Auvergne-Rhône-Alpes,,France,"1 rue Louis Guérin, 69100 Villeurbanne",Europe
38 rue Édouard Delanglade,Marseille,13001,Provence-Alpes-Côte d'Azur,,France,"38 rue Édouard Delanglade, 13001 Marseille",Europe
13 quai Kléber,Strasbourg,67000,Grand Est,,France,"13 quai Kléber, 67000 Strasbourg",Europe
16 rue d'Anjou,Paris,75001,Île-de-France,,France,"16 rue d'Anjou, 75001 Paris",Europe
53 rue Hoche,Bagnolet,93170,Île-de-France,,France,"53 rue Hoche, 93170 Bagnolet",Europe
105 rue de Siam,Brest,29200,Bretagne,,France,"105 rue de Siam, 29200 Brest",Europe
8 rue Blaise-Pascal,Rouen,76000,Normandie,,France,"8 rue Blaise-Pascal, 76000 Rouen",Europe
24 rue Vernier,Paris,75001,Île-de-France,,France,"24 rue Vernier, 75001 Paris",Europe
27 rue de la République,Avignon,84000,Provence-Alpes-Côte d'Azur,,France,"27 rue de la République, 84000 Avignon",Europe
1 place de la Montagne-Verte,Colmar,68000,Grand Est,,France,"1 place de la Montagne-Verte, 68000 Colmar",Europe
14 place du postel,Apt,84400,Provence-Alpes-Côte d'Azur,,France,"14 place du postel, 84400 Apt",Europe
3 place du Docteur-Roclore,Saulieu,21210,Bourgogne-Franche-Comté,,France,"3 place du Docteur-Roclore, 21210 Saulieu",Europe
112 rue du Collège,Carpentras,84200,Provence-Alpes-Côte d'Azur,,France,"112 rue du Collège, 84200 Carpentras",Europe
9 rue Dubois,Villeurbanne,69100,Auvergne-Rhône-Alpes,,France,"9 rue Dubois, 69100 Villeurbanne",Europe
2 allée de Kernenez,Quimper,29000,Bretagne,,France,"2 allée de Kernenez, 29000 Quimper",Europe
24 Rond-point de l'amitié,Carpentras,84200,Provence-Alpes-Côte d'Azur,,France,"24 Rond-point de l'amitié, 84200 Carpentras",Europe
20 Cours Pasteur Bordeaux,Bordeaux,33000,Nouvelle-Aquitaine,,France,"20 Cours Pasteur Bordeaux, 33000 Bordeaux",Europe
4 rue Ferdinand-Gambon,Paris,75001,Île-de-France,,France,"4 rue Ferdinand-Gambon, 75001 Paris",Europe
19 chaussée de la Muette,Paris,75001,Île-de-France,,France,"19 chaussée de la Muette, 75001 Paris",Europe
78 rue d'Auteuil,Paris,75001,Île-de-France,,France,"78 rue d'Auteuil, 75001 Paris",Europe
128 avenue de Saint-Ouen,Paris,75001,Île-de-France,,France,"128 avenue de Saint-Ouen, 75001 Paris",Europe
397 rue de Vaugirard,Paris,75001,Île-de-France,,France,"397 rue de Vaugirard, 75001 Paris",Europe
232 rue Vercingétorix,Paris,75001,Île-de-France,,France,"232 rue Vercingétorix, 75001 Paris",Europe
11 rue Claude-Decaen,Paris,75001,Île-de-France,,France,"11 rue Claude-Decaen, 75001 Paris",Europe
95 rue Michel-Ange,Paris,75001,Île-de-France,,France,"95 rue Michel-Ange, 75001 Paris",Europe
92 Rue de Courcelles,Paris,75001,Île-de-France,,France,"92 Rue de Courcelles, 75001 Paris",Europe
11 avenue George-V,Paris,75001,Île-de-France,,France,"11 avenue George-V, 75001 Paris",Europe
52 avenue Victor-Hugo,Paris,75001,Île-de-France,,France,"52 avenue Victor-Hugo, 75001 Paris",Europe
9 place de l'Université,Strasbourg,67000,Grand Est,,France,"9 place de l'Université, 67000 Strasbourg",Europe
34 cours Albert-Ier,Paris,75001,Île-de-France,,France,"34 cours Albert-Ier, 75001 Paris",Europe
25 rue des Favorites,Paris,75001,Île-de-France,,France,"25 rue des Favorites, 75001 Paris",Europe
22 rue de l'Élysée,Paris,75001,Île-de-France,,France,"22 rue de l'Élysée, 75001 Paris",Europe
54 rue de la Faisanderie,Paris,75001,Île-de-France,,France,"54 rue de la Faisanderie, 75001 Paris",Europe
1 place d'Andorre,Paris,75001,Île-de-France,,France,"1 place d'Andorre, 75001 Paris",Europe
9 rue de Tilsitt,Paris,75001,Île-de-France,,France,"9 rue de Tilsitt, 75001 Paris",Europe
34 avenue de New-York,Paris,75001,Île-de-France,,France,"34 avenue de New-York, 75001 Paris",Europe
34 avenue de Messine,Paris,75001,Île-de-France,,France,"34 avenue de Messine, 75001 Paris",Europe
87 avenue Victor-Hugo,Paris,75001,Île-de-France,,France,"87 avenue Victor-Hugo, 75001 Paris",Europe
8 rue Alfred-Roll,Paris,75001,Île-de-France,,France,"8 rue Alfred-Roll, 75001 Paris",Europe
17 rue de la Victoire.,Saint-Dizier,52100,Grand Est,,France,"17 rue de la Victoire., 52100 Saint-Dizier",Europe
159 boulevard Haussmann,Paris,75001,Île-de-France,,France,"159 boulevard Haussmann, 75001 Paris",Europe
645 rue Gaston Dereudre,Loon-Plage,59279,Hauts-de-France,,France,"645 rue Gaston Dereudre, 59279 Loon-Plage",Europe
12 avenue Georges-Pompidou,Périgueux,24000,Nouvelle-Aquitaine,,France,"12 avenue Georges-Pompidou, 24000 Périgueux",Europe
1 rue Jean Burguet,Bordeaux,33000,Nouvelle-Aquitaine,,France,"1 rue Jean Burguet, 33000 Bordeaux",Europe
48 Chemin Haut,Strasbourg,67000,Grand Est,,France,"48 Chemin Haut, 67000 Strasbourg",Europe
18 avenue Jules Ferry,Rennes,35000,Bretagne,,France,"18 avenue Jules Ferry, 35000 Rennes",Europe
32 bis boulevard de Picpus,Paris,75001,Île-de-France,,France,"32 bis boulevard de Picpus, 75001 Paris",Europe
26 place Monge,Beaune,21200,Bourgogne-Franche-Comté,,France,"26 place Monge, 21200 Beaune",Europe
24 quai de la Fosse,Nantes,44000,Pays de la Loire,,France,"24 quai de la Fosse, 44000 Nantes",Europe
2 rue Vivienne,Paris,75001,Île-de-France,,France,"2 rue Vivienne, 75001 Paris",Europe
14 Rue Paul-et-Pierre-Guichard,Saint-Étienne,42000,Auvergne-Rhône-Alpes,,France,"14 Rue Paul-et-Pierre-Guichard, 42000 Saint-Étienne",Europe
30 rue des Perchamps,Paris,75001,Île-de-France,,France,"30 rue des Perchamps, 75001 Paris",Europe
65 rue des Belles-Feuilles,Paris,75001,Île-de-France,,France,"65 rue des Belles-Feuilles, 75001 Paris",Europe
12 rue Lord-Byron,Paris,75001,Île-de-France,,France,"12 rue Lord-Byron, 75001 Paris",Europe
18 avenue de Tourville,Paris,75001,Île-de-France,,France,"18 avenue de Tourville, 75001 Paris",Europe
7 ter Rue Léonard-de-Vinci,Paris,75001,Île-de-France,,France,"7 ter Rue Léonard-de-Vinci, 75001 Paris",Europe
154 rue de Longchamp,Paris,75001,Île-de-France,,France,"154 rue de Longchamp, 75001 Paris",Europe
84 avenue Georges-Clemenceau,Reims,51100,Grand Est,,France,"84 avenue Georges-Clemenceau, 51100 Reims",Europe
82 rue Laugier,Paris,75001,Île-de-France,,France,"82 rue Laugier, 75001 Paris",Europe
8 villa Saïd,Paris,75001,Île-de-France,,France,"8 villa Saïd, 75001 Paris",Europe
89 rue du Cherche-Midi,Paris,75001,Île-de-France,,France,"89 rue du Cherche-Midi, 75001 Paris",Europe
26 rue du Château,Bohain-en-Vermandois,02110,Hauts-de-France,,France,"26 rue du Château, 02110 Bohain-en-Vermandois",Europe
26 bis avenue Raphaël,Paris,75001,Île-de-France,,France,"26 bis avenue Raphaël, 75001 Paris",Europe
73 rue d'Auteuil,Paris,75001,Île-de-France,,France,"73 rue d'Auteuil, 75001 Paris",Europe
102 avenue Raymond-Poincaré,Paris,75001,Île-de-France,,France,"102 avenue Raymond-Poincaré, 75001 Paris",Europe
5 rue du Murgin,Moirans-en-Montagne,39260,Bourgogne-Franche-Comté,,France,"5 rue du Murgin, 39260 Moirans-en-Montagne",Europe
19 avenue Foch,Paris,75001,Île-de-France,,France,"19 avenue Foch, 75001 Paris",Europe
117 rue Saint-Lazare,Paris,75001,Île-de-France,,France,"117 rue Saint-Lazare, 75001 Paris",Europe
173 avenue Victor-Hugo,Paris,75001,Île-de-France,,France,"173 avenue Victor-Hugo, 75001 Paris",Europe
13 avenue Raymond-Poincaré,Paris,75001,Île-de-France,,France,"13 avenue Raymond-Poincaré, 75001 Paris",Europe
125 rue de Grenelle,Paris,75001,Île-de-France,,France,"125 rue de Grenelle, 75001 Paris",Europe
6 rue de la porte de la Monnaie,Bordeaux,33000,Nouvelle-Aquitaine,,France,"6 rue de la porte de la Monnaie, 33000 Bordeaux",Europe
12 place du Général-Catroux,Paris,75001,Île-de-France,,France,"12 place du Général-Catroux, 75001 Paris",Europe
26 rue Dumont-d'Urville,Paris,75001,Île-de-France,,France,"26 rue Dumont-d'Urville, 75001 Paris",Europe
42 rue Boileau,Paris,75001,Île-de-France,,France,"42 rue Boileau, 75001 Paris",Europe
35 avenue Charles-Floquet,Paris,75001,Île-de-France,,France,"35 avenue Charles-Floquet, 75001 Paris",Europe
37 bis rue Paul-Valéry,Paris,75001,Île-de-France,,France,"37 bis rue Paul-Valéry, 75001 Paris",Europe
32 cours Albert-Ier,Paris,75001,Île-de-France,,France,"32 cours Albert-Ier, 75001 Paris",Europe
6 rue Roger Béteille,Blagnac,31700,Occitanie,,France,"6 rue Roger Béteille, 31700 Blagnac",Europe
11 rue Alfred-Dehodencq,Paris,75001,Île-de-France,,France,"11 rue Alfred-Dehodencq, 75001 Paris",Europe
50 avenue d'Iéna,Paris,75001,Île-de-France,,France,"50 avenue d'Iéna, 75001 Paris",Europe
3 rue Freycinet,Paris,75001,Île-de-France,,France,"3 rue Freycinet, 75001 Paris",Europe
1 rue de Staël,Paris,75001,Île-de-France,,France,"1 rue de Staël, 75001 Paris",Europe
94 rue Saint-Lazare,Paris,75001,Île-de-France,,France,"94 rue Saint-Lazare, 75001 Paris",Europe
29 boulevard de Courcelles,Paris,75001,Île-de-France,,France,"29 boulevard de Courcelles, 75001 Paris",Europe
24 rue de la Grande-Truanderie,Paris,75001,Île-de-France,,France,"24 rue de la Grande-Truanderie, 75001 Paris",Europe
51 rue de la Faisanderie,Paris,75001,Île-de-France,,France,"51 rue de la Faisanderie, 75001 Paris",Europe
1 rue François-Ier,Paris,75001,Île-de-France,,France,"1 rue François-Ier, 75001 Paris",Europe
51 avenue Mozart,Paris,75001,Île-de-France,,France,"51 avenue Mozart, 75001 Paris",Europe
125 rue d'Avron,Paris,75001,Île-de-France,,France,"125 rue d'Avron, 75001 Paris",Europe
6 rue Cimarosa,Paris,75001,Île-de-France,,France,"6 rue Cimarosa, 75001 Paris",Europe
101 Boulevard Raspail,Paris,75001,Île-de-France,,France,"101 Boulevard Raspail, 75001 Paris",Europe
18 rue du Sergent-Bauchat,Paris,75001,Île-de-France,,France,"18 rue du Sergent-Bauchat, 75001 Paris",Europe
15 avenue Charles-Floquet,Paris,75001,Île-de-France,,France,"15 avenue Charles-Floquet, 75001 Paris",Europe
10 rue du Sanglier,Strasbourg,67000,Grand Est,,France,"10 rue du Sanglier, 67000 Strasbourg",Europe
40 rue de la Plage,Collonges-au-Mont-d'Or,69660,Auvergne-Rhône-Alpes,,France,"40 rue de la Plage, 69660 Collonges-au-Mont-d'Or",Europe
9 rue de Longchamp,Paris,75001,Île-de-France,,France,"9 rue de Longchamp, 75001 Paris",Europe
4 rue de Koenigshoffen,Strasbourg,67000,Grand Est,,France,"4 rue de Koenigshoffen, 67000 Strasbourg",Europe
17 rue Auguste-Vacquerie,Paris,75001,Île-de-France,,France,"17 rue Auguste-Vacquerie, 75001 Paris",Europe
22 Avenue Marceau,Paris,75001,Île-de-France,,France,"22 Avenue Marceau, 75001 Paris",Europe
3 rue de l'ancienne foire,Saint-Martin-en-Campagne,76370,Normandie,,France,"3 rue de l'ancienne foire, 76370 Saint-Martin-en-Campagne",Europe
51 quai des Grands-Augustins,Paris,75001,Île-de-France,,France,"51 quai des Grands-Augustins, 75001 Paris",Europe
1 rue de la Station,Strasbourg,67000,Grand Est,,France,"1 rue de la Station, 67000 Strasbourg",Europe
1a Rue Coulaux,Strasbourg,67000,Grand Est,,France,"1a Rue Coulaux, 67000 Strasbourg",Europe
2 boulevard Tonnelé,Tours,37000,Centre-Val de Loire,,France,"2 boulevard Tonnelé, 37000 Tours",Europe
117 rue de la Gare,Guiscriff,56560,Bretagne,,France,"117 rue de la Gare, 56560 Guiscriff",Europe
15 rue Maréchal-Foch,Vichy,03200,Auvergne-Rhône-Alpes,,France,"15 rue Maréchal-Foch, 03200 Vichy",Europe
176 route de Bâle,Colmar,68000,Grand Est,,France,"176 route de Bâle, 68000 Colmar",Europe
12 rue Galilée,Paris,75001,Île-de-France,,France,"12 rue Galilée, 75001 Paris",Europe
5A route de Saint-Loup,Vesoul,70000,Bourgogne-Franche-Comté,,France,"5A route de Saint-Loup, 70000 Vesoul",Europe
37 rue Maréchal-Joffre Nantes,Nantes,44000,Pays de la Loire,,France,"37 rue Maréchal-Joffre Nantes, 44000 Nantes",Europe
24 rue de l'Échaudé,Paris,75001,Île-de-France,,France,"24 rue de l'Échaudé, 75001 Paris",Europe
50 avenue Kléber,Paris,75001,Île-de-France,,France,"50 avenue Kléber, 75001 Paris",Europe
